left rectus capitis posterior major,
right rectus capitis posterior major,
left obliquus capitis inferior,
right obliquus capitis inferior,
left rectus capitis posterior minor,
right rectus capitis posterior minor,
left obliquus capitis superior,
right obliquus capitis superior,
left rectus capitis anterior,
right rectus capitis anterior,
left anterior scalene,
right anterior scalene,
left middle scalene,
right middle scalene,
left posterior scalene,
right posterior scalene,
left illiocostalis cervicis,4
right illiocostalis cervicis,3
left semispinalis cervicis,4
right semispinalis cervicis,3
left vertical longus colli,
right vertical longus colli,
left oblique longus colli,
right oblique longus colli,
left ascending longus colli,
right ascending longus colli,
left semispinalis capitis,4
right semispinalis capitis,3
left longissimus capitis,4
right longissimus capitis,3
left longissimus cervicis,4
right longissimus cervicis,3
left longus capitis,
right longus capitis,
left cervical rotators,
right cervical rotators,
left splenius capitis,6
right splenius capitis,5
left splenius cervicis,6
right splenius cervicis,5
left sternocleidomastoid,8
right sternocleidomastoid,7
left levator scapula,2
right levator scapula,1
left upper trapezius,10
right upper trapezius,9
